Time,Symbol,Funding Rate,Funding Rate Daily
"Dec 5, 2021, 1:00:00",XBTUSD,-0.0509,-0.1527
"Dec 5, 2021, 5:00:00",XBTUSD,-0.0131,-0.0393
"Dec 4, 2021, 9:00:00",XBTUSD,-0.0499,-0.1497
"Dec 4, 2021, 1:00:00",XBTUSD,-0.0864,-0.2592
"Dec 4, 2021, 5:00:00",XBTUSD,0.01,0.03
"Dec 3, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 3, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 3, 2021, 5:00:00",XBTUSD,0.01,0.03
"Dec 2, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 2, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 2, 2021, 5:00:00",XBTUSD,0.01,0.03
"Dec 1, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 1, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 1, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 30, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 30, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 30, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 29, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 29, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 29, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 28, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 28, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 28, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 27, 2021, 9:00:00",XBTUSD,0.0027,0.0081
"Nov 27, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 27, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 26, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 26, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 26, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 25, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 25, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 25, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 24, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 24, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 24, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 23, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 23, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 23, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 22, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 22, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 22, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 21, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 21, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 21, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 20, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 20, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 20, 2021, 5:00:00",XBTUSD,-0.0009,-0.0027
"Nov 19, 2021, 9:00:00",XBTUSD,0.0001,0.0003
"Nov 19, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 19, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 18, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 18, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 18, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 17, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 17, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 17, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 16, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 16, 2021, 1:00:00",XBTUSD,-0.0004,-0.0012
"Nov 16, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 15, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 15, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 15, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 14, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 14, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 14, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 13, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 13, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 13, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 12, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 12, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 12, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 11, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 11, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 11, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 10, 2021, 9:00:00",XBTUSD,0.0409,0.1227
"Nov 10, 2021, 1:00:00",XBTUSD,0.0605,0.1815
"Nov 10, 2021, 5:00:00",XBTUSD,0.029,0.087
"Nov 9, 2021, 9:00:00",XBTUSD,0.0472,0.1416
"Nov 9, 2021, 1:00:00",XBTUSD,0.0178,0.0534
"Nov 9, 2021, 5:00:00",XBTUSD,0.0315,0.0945
"Nov 8, 2021, 9:00:00",XBTUSD,0.0488,0.1464
"Nov 8, 2021, 1:00:00",XBTUSD,0.0436,0.1308
"Nov 8, 2021, 5:00:00",XBTUSD,0.0231,0.0693
"Nov 7, 2021, 9:00:00",XBTUSD,0.01,0.03
"Nov 7, 2021, 1:00:00",XBTUSD,0.01,0.03
"Nov 7, 2021, 5:00:00",XBTUSD,0.01,0.03
"Nov 6, 2021, 10:00:00",XBTUSD,0.01,0.03
"Nov 6, 2021, 2:00:00",XBTUSD,0.01,0.03
"Nov 6, 2021, 6:00:00",XBTUSD,0.01,0.03
"Nov 5, 2021, 10:00:00",XBTUSD,0.01,0.03
"Nov 5, 2021, 2:00:00",XBTUSD,0.01,0.03
"Nov 5, 2021, 6:00:00",XBTUSD,0.01,0.03
"Nov 4, 2021, 10:00:00",XBTUSD,0.01,0.03
"Nov 4, 2021, 2:00:00",XBTUSD,0.01,0.03
"Nov 4, 2021, 6:00:00",XBTUSD,0.01,0.03
"Nov 3, 2021, 10:00:00",XBTUSD,0.01,0.03
"Nov 3, 2021, 2:00:00",XBTUSD,0.01,0.03
"Nov 3, 2021, 6:00:00",XBTUSD,0.0427,0.1281
"Nov 2, 2021, 10:00:00",XBTUSD,0.0272,0.0816
"Nov 2, 2021, 2:00:00",XBTUSD,0.0325,0.0975
"Nov 2, 2021, 6:00:00",XBTUSD,0.01,0.03
"Nov 1, 2021, 10:00:00",XBTUSD,0.024,0.072
"Nov 1, 2021, 2:00:00",XBTUSD,0.0254,0.0762
"Nov 1, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 31, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 31, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 31, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 30, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 30, 2021, 2:00:00",XBTUSD,0.0185,0.0555
"Oct 30, 2021, 6:00:00",XBTUSD,0.02,0.06
"Oct 29, 2021, 10:00:00",XBTUSD,0.0256,0.0768
