,0,1,2,3
227,"Feb 8, 2022, 9:00:00",LINKUSD,0.0123,0.0369
228,"Feb 8, 2022, 9:00:00",EOSUSD,0.01,0.03
229,"Feb 8, 2022, 9:00:00",AXSUSD,-0.0141,-0.0423
230,"Feb 8, 2022, 9:00:00",DOTUSD,0.01,0.03
231,"Feb 8, 2022, 9:00:00",BNBUSD,0.01,0.03
232,"Feb 8, 2022, 9:00:00",DOGEUSD,0.0322,0.0966
233,"Feb 8, 2022, 9:00:00",ADAUSD,0.01,0.03
234,"Feb 8, 2022, 9:00:00",AVAXUSD,0.01,0.03
235,"Feb 8, 2022, 9:00:00",LUNAUSD,0.01,0.03
236,"Feb 8, 2022, 9:00:00",MATICUSDT,0.01,0.03
237,"Feb 8, 2022, 9:00:00",XBTEUR,0.01,0.03
238,"Feb 8, 2022, 9:00:00",SOLUSDT,0.01,0.03
239,"Feb 8, 2022, 9:00:00",BNBUSDT,0.01,0.03
240,"Feb 8, 2022, 9:00:00",ADAUSDT,0.01,0.03
241,"Feb 8, 2022, 9:00:00",DOTUSDT,0.01,0.03
242,"Feb 8, 2022, 9:00:00",DOGEUSDT,0.01,0.03
243,"Feb 8, 2022, 9:00:00",LTCUSD,0.01,0.03
244,"Feb 8, 2022, 9:00:00",BCHUSD,0.01,0.03
245,"Feb 8, 2022, 9:00:00",XRPUSD,0.0292,0.0876
246,"Feb 8, 2022, 9:00:00",ETHUSD,0.0356,0.1068
247,"Feb 8, 2022, 9:00:00",XBTUSD,0.01,0.03
248,"Feb 8, 2022, 1:00:00",MANAUSDT,0.01,0.03
249,"Feb 8, 2022, 1:00:00",SANDUSDT,0.01,0.03
250,"Feb 8, 2022, 1:00:00",FTMUSDT,0.01,0.03
251,"Feb 8, 2022, 1:00:00",SHIBUSDT,0.01,0.03
252,"Feb 8, 2022, 1:00:00",LTCUSDT,0.01,0.03
253,"Feb 8, 2022, 1:00:00",BCHUSDT,0.01,0.03
254,"Feb 8, 2022, 1:00:00",XRPUSDT,0.01,0.03
255,"Feb 8, 2022, 1:00:00",ETHUSDT,0.01,0.03
256,"Feb 8, 2022, 1:00:00",XBTUSDT,0.01,0.03
257,"Feb 8, 2022, 1:00:00",SOLUSD,0.0217,0.0651
258,"Feb 8, 2022, 1:00:00",LINKUSD,0.029,0.087
259,"Feb 8, 2022, 1:00:00",EOSUSD,0.01,0.03
260,"Feb 8, 2022, 1:00:00",AXSUSD,-0.0153,-0.0459
261,"Feb 8, 2022, 1:00:00",DOTUSD,0.01,0.03
262,"Feb 8, 2022, 1:00:00",BNBUSD,0.01,0.03
263,"Feb 8, 2022, 1:00:00",DOGEUSD,0.0408,0.1224
264,"Feb 8, 2022, 1:00:00",ADAUSD,0.0104,0.0312
265,"Feb 8, 2022, 1:00:00",AVAXUSD,0.01,0.03
266,"Feb 8, 2022, 1:00:00",LUNAUSD,0.01,0.03
267,"Feb 8, 2022, 1:00:00",MATICUSDT,0.01,0.03
268,"Feb 8, 2022, 1:00:00",XBTEUR,0.01,0.03
269,"Feb 8, 2022, 1:00:00",SOLUSDT,0.01,0.03
270,"Feb 8, 2022, 1:00:00",BNBUSDT,0.01,0.03
271,"Feb 8, 2022, 1:00:00",ADAUSDT,0.01,0.03
272,"Feb 8, 2022, 1:00:00",DOTUSDT,0.01,0.03
273,"Feb 8, 2022, 1:00:00",DOGEUSDT,0.01,0.03
274,"Feb 8, 2022, 1:00:00",LTCUSD,0.01,0.03
275,"Feb 8, 2022, 1:00:00",BCHUSD,0.01,0.03
276,"Feb 8, 2022, 1:00:00",XRPUSD,0.01,0.03
277,"Feb 8, 2022, 1:00:00",ETHUSD,0.0284,0.0852
278,"Feb 8, 2022, 1:00:00",XBTUSD,-0.0007,-0.0021
279,"Feb 8, 2022, 5:00:00",MANAUSDT,0.01,0.03
280,"Feb 8, 2022, 5:00:00",SANDUSDT,0.01,0.03
281,"Feb 8, 2022, 5:00:00",FTMUSDT,0.01,0.03
282,"Feb 8, 2022, 5:00:00",SHIBUSDT,0.01,0.03
283,"Feb 8, 2022, 5:00:00",LTCUSDT,0.01,0.03
284,"Feb 8, 2022, 5:00:00",BCHUSDT,0.01,0.03
285,"Feb 8, 2022, 5:00:00",XRPUSDT,0.01,0.03
286,"Feb 8, 2022, 5:00:00",ETHUSDT,0.01,0.03
287,"Feb 8, 2022, 5:00:00",XBTUSDT,0.0094,0.0282
288,"Feb 8, 2022, 5:00:00",SOLUSD,0.0242,0.0726
289,"Feb 8, 2022, 5:00:00",LINKUSD,0.0236,0.0708
290,"Feb 8, 2022, 5:00:00",EOSUSD,0.01,0.03
291,"Feb 8, 2022, 5:00:00",AXSUSD,0.01,0.03
292,"Feb 8, 2022, 5:00:00",DOTUSD,0.01,0.03
293,"Feb 8, 2022, 5:00:00",BNBUSD,0.01,0.03
294,"Feb 8, 2022, 5:00:00",DOGEUSD,0.0372,0.1116
295,"Feb 8, 2022, 5:00:00",ADAUSD,0.01,0.03
296,"Feb 8, 2022, 5:00:00",AVAXUSD,0.01,0.03
297,"Feb 8, 2022, 5:00:00",LUNAUSD,0.01,0.03
298,"Feb 8, 2022, 5:00:00",MATICUSDT,0.01,0.03
299,"Feb 8, 2022, 5:00:00",XBTEUR,0.01,0.03
300,"Feb 8, 2022, 5:00:00",SOLUSDT,0.01,0.03
301,"Feb 8, 2022, 5:00:00",BNBUSDT,0.01,0.03
302,"Feb 8, 2022, 5:00:00",ADAUSDT,0.01,0.03
303,"Feb 8, 2022, 5:00:00",DOTUSDT,0.01,0.03
304,"Feb 8, 2022, 5:00:00",DOGEUSDT,0.01,0.03
305,"Feb 8, 2022, 5:00:00",LTCUSD,0.01,0.03
306,"Feb 8, 2022, 5:00:00",BCHUSD,0.01,0.03
307,"Feb 8, 2022, 5:00:00",XRPUSD,0.01,0.03
308,"Feb 8, 2022, 5:00:00",ETHUSD,0.01,0.03
309,"Feb 8, 2022, 5:00:00",XBTUSD,-0.0083,-0.0249
310,"Feb 7, 2022, 9:00:00",MANAUSDT,0.01,0.03
311,"Feb 7, 2022, 9:00:00",SANDUSDT,0.01,0.03
312,"Feb 7, 2022, 9:00:00",FTMUSDT,0.01,0.03
313,"Feb 7, 2022, 9:00:00",SHIBUSDT,0.01,0.03
314,"Feb 7, 2022, 9:00:00",LTCUSDT,0.01,0.03
315,"Feb 7, 2022, 9:00:00",BCHUSDT,0.01,0.03
316,"Feb 7, 2022, 9:00:00",XRPUSDT,0.01,0.03
317,"Feb 7, 2022, 9:00:00",ETHUSDT,0.01,0.03
